Generating 26 subgroups with 3 items each used weighted selection (Total Weight: 81)...

Group A: Ushanka Gas Mask (Epic), Ruggage (Rare), Bio Phone (Rare)
Group B: Bio Phone (Rare), Kharkovchanka (Legendary), Hussar Armor (Epic)
Group C: Premium Used Lada (Rare), Doily Bra (Uncommon), Wobbly Nuclear Spinner (Uncommon)
Group D: Hussar Armor (Epic), Wobbly Nuclear Spinner (Uncommon), Tsar Tank (Epic)
Group E: Dr. Squat's Reflex Hammer (Legendary), Used Lada (Uncommon), Slavic Crusader Armor (Epic)
Group F: Premium Used Lada (Rare), Nuclear Spinner (Rare), Gold Leaf Slipper (Uncommon)
Group G: Doily Bra (Uncommon), Tsar Tank (Epic), Gop Gargoyle (Rare)
Group H: Gop Gargoyle (Rare), Dr. Squat's Reflex Hammer (Legendary), Doily Bra (Uncommon)
Group I: Gop Gargoyle (Rare), Nuclear Spinner (Rare), Ruggage (Rare)
Group J: Gold Leaf Slipper (Uncommon), Tsar Tank (Epic), Brick Phone (Uncommon)
Group K: Brick Phone (Uncommon), Ushanka Gas Mask (Epic), Slavic Crusader Armor (Epic)
Group L: Wobbly Nuclear Spinner (Uncommon), Matryoshka Grenade (Epic), Nuclear Spinner (Rare)
Group M: Brick Phone (Uncommon), Brick Phone (Uncommon), Doily Bra (Uncommon)
Group N: Bio Phone (Rare), Wobbly Nuclear Spinner (Uncommon), Tsar Tank (Epic)
Group O: Eastern Golem (Epic), Used Lada (Uncommon), Wobbly Nuclear Spinner (Uncommon)
Group P: Premium Used Lada (Rare), Brick Phone (Uncommon), Used Lada (Uncommon)
Group Q: Bio Phone (Rare), Wobbly Nuclear Spinner (Uncommon), Ruggage (Rare)
Group R: Brick Phone (Uncommon), Doily Bra (Uncommon), Brick Phone (Uncommon)
Group S: Wobbly Nuclear Spinner (Uncommon), Wobbly Nuclear Spinner (Uncommon), Doily Bra (Uncommon)
Group T: Nuclear Spinner (Rare), Gold Leaf Slipper (Uncommon), Gold Leaf Slipper (Uncommon)
Group U: Tsar Tank (Epic), Tsar Tank (Epic), Tsar Tank (Epic)
Group V: Wobbly Nuclear Spinner (Uncommon), Doily Bra (Uncommon), Gold Leaf Slipper (Uncommon)
Group W: Bio Phone (Rare), Brick Phone (Uncommon), Tsar Tank (Epic)
Group X: Ruggage (Rare), Tsar Tank (Epic), Ruggage (Rare)
Group Y: Brick Phone (Uncommon), Gop Gargoyle (Rare), Gold Leaf Slipper (Uncommon)
Group Z: Doily Bra (Uncommon), Slavic Crusader Armor (Epic), Gold Leaf Slipper (Uncommon)
